name,avoidCommitmentRatio,firstIntentionRatio,firstIntentionStep
maxModelNoNoise0,0.14096603836889857,0.36724112593648495,4.238532110091743
maxModelNoNoise1,0.12409369128203446,0.36117919657308145,3.926605504587156
maxModelNoNoise10,0.1514590358783275,0.37917313216223936,4.3119266055045875
maxModelNoNoise11,0.14322244883496904,0.4128882061154052,4.495412844036697
maxModelNoNoise12,0.14337097063756532,0.4130332116165901,4.5963302752293576
maxModelNoNoise13,0.12219900172224991,0.3765047407029118,4.18348623853211
maxModelNoNoise14,0.1406564590530137,0.3953214272149429,4.568807339449541
maxModelNoNoise15,0.12057274435956232,0.3919323051807359,4.422018348623853
maxModelNoNoise16,0.15117815490859207,0.35683380524853786,4.073394495412844
maxModelNoNoise17,0.13314837632835475,0.36139981023952955,4.064220183486238
maxModelNoNoise18,0.13877661658962254,0.4118432438521485,4.651376146788991
maxModelNoNoise19,0.14108534374390594,0.3975792472518974,4.422018348623853
maxModelNoNoise2,0.14024429437060448,0.3973059918450751,4.495412844036697
maxModelNoNoise20,0.1488843343201141,0.37228323409516084,4.064220183486238
maxModelNoNoise21,0.13925345281929197,0.4082240412043434,4.706422018348624
maxModelNoNoise22,0.13935812895536817,0.3739260193434791,4.229357798165138
maxModelNoNoise23,0.14899818506132595,0.41467302859639615,4.513761467889908
maxModelNoNoise24,0.1365007818529135,0.4005672185043476,4.5504587155963305
maxModelNoNoise25,0.12238028549593014,0.3760280290082602,4.275229357798165
maxModelNoNoise26,0.141562109863513,0.4034765333605055,4.5963302752293576
maxModelNoNoise27,0.12069726609661852,0.376817113150087,4.458715596330276
maxModelNoNoise28,0.1524113954784702,0.41227746333158616,4.587155963302752
maxModelNoNoise29,0.15512498660736224,0.40820679133088605,4.467889908256881
maxModelNoNoise3,0.12701822147990524,0.3891218723112949,4.26605504587156
maxModelNoNoise30,0.1447339751199779,0.3846599653537904,4.422018348623853
maxModelNoNoise31,0.1506799557212117,0.42653338907741456,4.6422018348623855
maxModelNoNoise32,0.14824919713613727,0.4040259382339794,4.532110091743119
maxModelNoNoise33,0.13188714954770003,0.38819148486579685,4.440366972477064
maxModelNoNoise34,0.13319898085711704,0.3699883543678812,4.146788990825688
maxModelNoNoise35,0.13676606268349387,0.39632887499859987,4.724770642201835
maxModelNoNoise36,0.14668703991778947,0.4055325759677876,4.669724770642202
maxModelNoNoise37,0.13921304029947196,0.3758095966751205,4.137614678899083
maxModelNoNoise38,0.13520063291344572,0.37898287055663427,4.238532110091743
maxModelNoNoise39,0.14084037776698324,0.3702749909441761,4.321100917431193
maxModelNoNoise4,0.14035626483009106,0.3756162467981141,4.229357798165138
maxModelNoNoise40,0.14286327683734446,0.38785626536606466,4.486238532110092
maxModelNoNoise41,0.14861731181213103,0.4218750907903632,4.605504587155964
maxModelNoNoise42,0.1269508456704895,0.38627940387249615,4.3119266055045875
maxModelNoNoise43,0.1302156256764005,0.38598265777200363,4.431192660550459
maxModelNoNoise44,0.13708749201868467,0.3843077921059574,4.376146788990826
maxModelNoNoise45,0.14708577207973633,0.3820470696542925,4.504587155963303
maxModelNoNoise46,0.1410159247325862,0.4206475203865638,4.724770642201835
maxModelNoNoise47,0.14000960513372818,0.3867476694918681,4.302752293577981
maxModelNoNoise48,0.14690499826907355,0.37690848571461816,4.26605504587156
maxModelNoNoise49,0.13763173400922998,0.41891768362356585,4.724770642201835
maxModelNoNoise5,0.14861343010290665,0.38240605090840823,4.229357798165138
maxModelNoNoise6,0.14137427105515837,0.3833131483744287,4.3119266055045875
maxModelNoNoise7,0.13885064012559964,0.3787741250774171,4.3119266055045875
maxModelNoNoise8,0.14441385888044223,0.4385435988412671,4.844036697247707
maxModelNoNoise9,0.1441427217512229,0.3897586589537053,4.376146788990826
